itemID,templateCreatedWith,templateEditedWith,templateDataVersion,sectionShadowUsed,sectionTextUsed,sectionBackground,numSections,flickr,google,arcgis,unsplash,linkedImage,youtube,vimeo,numMaps,uniqueMaps,numWebScenes,uniqueWebScenes,numImages,numVideos
a049eb11318947ea818d26c863ce7cac,1.2.0-120816,1.2.0-120816,1.0.0,false,dark,light,4,0,0,0,0,1,0,0,2,2,0,0,1,0
771449d5475b4bedae5e4b48a5d79ac4,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,4,0,0,0,0,1,0,0,3,3,0,0,1,0
2fc6d33ff1194a30bf9bcae9e07742e5,1.2.0-120816,1.2.0-120816,1.0.0,false,dark,light,2,0,0,0,0,1,0,0,1,1,0,0,1,0
cedc9d3a98a6432596c52983599c009e,1.2.0-120816,1.2.0-120816,1.0.0,false,dark,light,2,0,0,0,0,1,0,0,1,1,0,0,1,0
899d934f76b84f2fa98992a5ca3c3627,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,2,2,0,0,1,0
42d9792aa97e441b81f91ebddeb6238e,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,0,0,0,0,1,0
23a134c23cfe4452bd71d210cb727279,1.1.3,1.2.0,1.0.0,true,light,,3,0,0,1,0,0,0,0,0,0,0,0,16,0
fd1ade216b58491f9d34974e38f58049,1.1.3,1.2.0,1.0.0,true,dark,,6,1,0,0,1,1,0,1,0,0,0,0,5,1
b3479e47a7694e7598405a2f21dbdc83,1.1.3,1.2.0,1.0.0,true,light,,18,0,1,0,0,0,0,0,1,1,0,0,11,0
67d512b9acdb49a18db545cc46f42369,1.1.3,1.2.0-120916,1.0.0,true,light,,2,0,0,1,0,0,0,0,0,0,0,0,2,0
28a1427d68974909ac4357cb5919bdab,1.1.3,1.1.3,1.0.0,true,dark,,2,0,0,1,0,0,0,0,0,0,0,0,1,0
7c82cdc1f0c24cedbb54e4ca41319904,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,10,0,0,1,0,0,0,0,0,0,0,0,19,0
d599d91b207240308c1d6b5a8730b655,1.1.3,1.1.3,1.0.0,false,dark,light,4,0,0,0,0,1,1,0,0,0,0,0,5,1
46900980818b4631a3b4f8191819375f,1.1.3,1.1.3,1.0.0,true,dark,,5,0,0,0,0,0,1,0,0,0,0,0,0,4
486387107dea44d9a851fef30924b0ed,1.1.3,1.2.0,1.0.0,true,light,,5,0,0,1,0,0,0,0,1,1,0,0,9,0
62c9589a71c64513902950e01fb45a60,1.1.3,1.1.3,1.0.0,false,light,dark,12,1,0,0,0,1,1,0,0,0,0,0,30,1
